ID;Q002;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q019;Q020;Q021;Q022;Q023;Q024;Q025;peso
1;2;4;4;5;2;5;5;5;1;1;5;2;5;4;2;1;1;;3;3;2;0,2
2;1;3;3;4;1;5;13;3;1;1;3;4;5;3;5;1;1;;2;3;2;2,65
3;1;6;1;5;1;5;1;2;1;1;2;2;3;3;2;1;1;;1;4;1;0,7
4;1;6;4;2;1;5;17;6;1;1;4;4;7;3;2;2;7;1;2;4;2;1,4
5;2;3;2;3;2;6;10;7;1;3;5;5;5;2;4;1;2;1;3;2;2;0,65
6;2;3;2;5;2;6;10;6;1;1;1;4;7;3;2;1;2;2;3;3;2;0,33
7;2;4;2;6;2;5;9;5;1;1;4;4;6;3;2;1;2;1;3;3;2;0,22
8;2;3;2;2;2;6;10;3;1;1;4;4;7;1;3;1;2;2;3;3;2;0,33
9;2;3;3;3;1;5;5;5;1;2;1;3;7;2;2;1;1;;2;3;2;0,93
10;1;6;1;3;2;3;17;4;1;2;3;4;7;2;2;2;7;2;3;4;2;0,25
11;1;4;1;2;1;5;12;5;1;1;2;3;8;1;3;1;3;2;2;3;3;0,67
12;1;4;2;1;2;2;5;4;1;2;3;3;3;1;2;1;1;;3;3;1;0,23
13;2;4;3;6;2;5;6;4;1;1;2;2;6;4;2;1;2;2;3;3;2;0,24
14;2;5;1;6;1;5;9;2;1;1;4;2;6;4;2;1;2;2;2;4;2;1,36
15;2;4;1;2;2;5;4;1;1;1;3;4;7;1;2;1;1;;3;3;2;0,39
16;2;5;1;6;2;9;10;4;1;1;2;2;6;4;2;1;2;2;3;4;2;0,2
17;1;3;3;6;2;6;10;6;1;1;1;4;7;4;2;1;2;2;3;2;2;0,88
18;1;5;4;4;2;5;10;4;1;3;2;2;6;3;2;1;2;2;3;4;2;1,03
19;1;1;1;2;1;2;3;6;4;3;4;4;8;1;3;1;1;;2;1;3;2,67
20;1;4;1;4;1;6;10;1;1;1;1;1;5;3;2;1;2;2;2;3;2;1,47
21;2;4;1;3;1;2;18;2;1;1;1;1;5;3;5;2;4;2;2;3;2;1,16
22;2;6;3;6;2;6;16;2;1;3;4;4;3;4;2;2;6;;3;4;1;0,91
23;2;5;4;4;2;5;10;2;1;1;4;4;3;5;2;1;2;1;3;4;1;0,42
24;2;6;5;4;2;3;17;6;1;1;1;3;3;5;2;2;7;1;3;5;1;1,24
25;2;5;5;3;2;5;7;3;1;1;2;5;5;3;2;1;2;1;3;4;2;0,31
26;1;4;4;2;1;2;10;5;1;1;4;4;7;1;2;1;2;2;1;3;2;2,71
27;1;3;4;3;2;4;9;4;1;1;2;3;8;2;2;1;2;2;3;2;3;0,19
28;2;6;3;6;1;6;16;3;1;3;2;5;2;3;2;2;6;;2;4;1;2,72
29;2;6;3;4;1;6;17;4;1;1;4;4;7;2;4;2;7;1;1;5;2;0,71
30;2;6;1;4;1;3;16;5;1;1;1;2;3;5;2;2;6;;2;4;1;0,4
31;2;5;4;6;2;6;9;5;1;1;1;4;6;3;3;1;2;2;3;4;2;0,15
32;2;6;3;3;1;6;17;2;1;2;5;5;4;5;3;2;7;2;2;4;1;1,57
33;1;2;4;4;2;5;10;5;1;2;4;4;3;3;3;1;2;2;3;2;1;0,24
34;2;5;2;3;1;5;17;4;1;1;3;3;7;2;2;2;7;1;2;4;2;0,41
35;2;4;3;6;2;2;1;2;1;2;4;4;8;4;2;1;1;;3;3;3;0,24
36;2;3;1;6;1;5;10;5;1;1;1;1;3;4;3;1;2;1;2;3;1;0,61
37;1;4;4;2;2;5;12;3;1;1;1;3;5;5;3;1;3;2;3;3;2;0,9
38;1;4;2;1;1;6;12;7;1;2;4;4;7;1;3;1;3;2;2;3;2;2,67
39;2;6;4;3;1;5;16;4;1;2;5;4;3;3;2;2;6;;1;4;1;2,01
40;1;3;3;3;1;2;9;1;1;1;2;3;4;5;3;1;2;2;2;3;1;1,34
41;1;3;4;6;2;2;9;6;1;1;4;4;6;4;2;1;2;1;3;3;2;0,74
42;2;5;1;3;1;3;18;4;1;1;2;2;6;3;2;2;4;2;1;3;2;0,61
43;1;6;4;5;2;5;17;5;1;1;1;1;7;4;2;2;7;1;3;4;2;0,16
44;1;2;5;6;2;1;10;5;1;1;1;3;8;4;2;1;2;2;3;2;3;0,3
45;1;5;1;1;1;5;17;4;1;1;1;1;6;1;2;2;7;2;2;4;2;0,97
46;2;6;1;4;1;6;17;3;1;1;3;3;6;5;2;2;7;2;2;4;2;2,39
47;1;5;2;5;2;5;11;3;1;3;2;2;10;4;3;1;2;1;3;4;;0,25
48;2;6;4;4;1;5;17;4;1;1;3;2;3;3;2;2;7;1;2;4;1;2,01
49;1;3;4;6;1;2;5;4;1;1;2;2;8;4;4;1;1;;2;2;3;0,38
50;1;3;2;2;2;5;1;2;1;2;4;4;10;1;3;1;1;;3;3;;0,2
51;2;3;3;4;2;9;11;3;1;2;3;4;3;5;2;1;2;1;3;2;1;1,18
52;1;3;3;4;2;6;10;6;1;1;2;2;6;2;2;1;2;2;3;2;2;0,23
53;2;4;1;4;1;2;10;4;1;2;2;3;7;5;2;1;2;2;2;3;2;0,52
54;2;4;1;2;2;5;6;5;1;1;1;2;7;1;2;1;2;1;3;3;2;0,17
55;1;6;1;4;1;6;17;5;1;1;1;1;3;5;2;2;7;2;2;4;1;0,47
56;1;3;5;4;2;6;10;1;1;1;2;1;8;3;2;1;2;2;3;2;3;1,06
57;1;4;4;5;1;5;10;4;1;1;3;4;6;3;4;1;2;1;2;3;2;0,71
58;1;3;4;3;1;5;11;6;1;1;1;1;3;3;4;1;2;1;2;3;1;2,21
59;1;3;2;4;2;6;10;4;1;1;1;1;7;5;3;1;2;2;3;2;2;0,21
60;1;5;1;6;1;6;10;2;1;2;4;4;6;4;2;1;2;1;2;3;2;1,29
61;1;4;3;6;2;5;5;6;1;3;2;3;8;4;2;1;1;;3;3;3;0,26
62;1;5;4;2;1;3;18;5;1;1;1;1;8;5;4;2;4;2;2;4;3;0,77
63;1;4;1;4;1;6;4;2;1;1;2;4;6;3;3;1;1;;2;3;2;1,47
64;1;4;4;5;1;5;10;5;1;1;1;3;6;4;3;1;2;2;2;3;2;0,71
65;1;4;4;6;1;5;5;6;1;1;3;1;6;4;3;1;1;;2;3;2;0,67
66;1;6;4;1;2;5;17;4;1;1;2;3;3;1;2;2;7;1;3;5;1;0,24
67;2;6;1;6;1;5;16;5;1;3;5;5;7;3;4;2;6;;1;5;2;0,59
68;1;5;2;1;2;7;10;4;1;2;4;4;3;1;3;1;2;1;3;4;1;0,24
69;2;6;3;6;1;5;10;7;1;1;5;2;5;4;3;1;2;1;2;4;2;2,72
70;2;5;1;2;2;5;5;6;1;3;2;3;4;1;1;1;1;;3;4;1;0,78
71;1;6;5;3;1;6;2;2;1;1;4;4;5;3;2;1;1;;2;4;2;1,4
72;1;3;2;2;1;5;10;2;1;2;4;4;7;1;2;1;2;2;2;2;2;1,22
73;1;4;2;5;2;6;7;5;1;1;1;1;7;4;2;1;2;1;3;3;2;0,23
74;2;6;1;4;2;6;17;6;1;2;4;4;7;5;3;2;7;1;3;4;2;0,46
75;1;5;3;3;2;5;6;5;1;1;1;1;7;2;3;1;2;1;3;4;2;0,18
76;2;4;1;1;1;5;16;3;1;1;3;3;3;1;3;2;6;;2;3;1;2
77;2;6;3;6;2;5;17;4;1;2;4;4;7;4;3;2;7;2;3;4;2;0,24
78;2;5;1;6;1;5;10;4;1;1;4;4;6;3;3;1;2;2;2;3;2;0,61
79;1;6;5;4;1;5;17;5;1;1;5;4;7;3;2;2;7;2;2;4;2;0,42
80;1;5;1;6;2;6;9;4;1;2;3;3;6;4;2;1;2;2;3;4;2;0,32
81;2;3;3;4;2;6;5;6;1;1;1;2;8;3;2;1;1;;3;3;3;1,18
82;1;6;3;6;1;5;17;5;1;1;2;2;8;3;2;2;7;2;2;4;3;0,71
83;1;6;4;5;1;5;17;4;1;1;1;3;6;3;3;2;7;2;2;4;2;0,68
84;2;5;1;6;1;3;1;2;1;2;3;3;6;3;2;1;1;;2;4;2;1,36
85;1;6;2;6;2;6;17;4;1;3;1;3;6;4;3;2;7;1;3;5;2;0,27
86;1;3;4;4;2;4;5;6;1;1;1;2;5;5;3;1;1;;3;2;2;0,19
87;1;3;3;6;1;5;12;4;1;1;5;2;6;3;3;1;3;2;2;3;2;0,66
88;1;6;1;4;1;5;17;5;1;1;2;3;3;5;2;2;7;1;2;4;1;0,74
89;1;3;3;6;2;5;10;2;1;3;2;3;5;3;3;1;2;1;3;3;2;0,88
90;1;5;2;2;1;5;18;7;1;1;1;3;7;1;4;2;4;2;1;4;2;1,68
